,r.value.fit.vectors.r,fit.vectors.pvals
Streptomyces kurssanovii,0.123836096,0.057
Streptomyces lacrimifluminis,0.14345386,0.053
Streptomyces laculatispora,0.216961625,0.007
Streptomyces lanatus,0.03541479,0.445
Streptomyces lasiicapitis,0.196713469,0.013
Streptomyces laurentii,0.096271466,0.111
Streptomyces lavendulae,0.160324287,0.028
Streptomyces lavenduligriseus,0.015095655,0.77
Streptomyces leeuwenhoekii,0.124366212,0.069
Streptomyces liangshanensis,0.042428201,0.387
Streptomyces libani,0.324238026,0.001
Streptomyces lichenis,0.083035967,0.15
Streptomyces liliifuscus,0.317013169,0.001
Streptomyces lincolnensis,0.141462627,0.046
Streptomyces litmocidini,0.181182554,0.017
Streptomyces lividans,0.154262854,0.031
Streptomyces lomondensis,0,1
Streptomyces lonarensis,0.207701464,0.009
Streptomyces longisporoflavus,0.003242567,0.942
Streptomyces longwoodensis,0.031390235,0.494
Streptomyces lucensis,0.153715835,0.033
Streptomyces lunaelactis,0.117011741,0.059
Streptomyces lusitanus,0.152080457,0.027
Streptomyces luteogriseus,0.010524323,0.803
Streptomyces luteolifulvus,0.132339626,0.061
Streptomyces luteoverticillatus,0.277875658,0.001
Streptomyces lycii,0.01089452,0.806
Streptomyces lydicus,0.130102247,0.055
Streptomyces macrolidinus,0.114891879,0.072
Streptomyces malaysiense,0.06084727,0.263
Streptomyces malaysiensis,0.131983231,0.03
Streptomyces mangrovisoli,0.015733985,0.723
Streptomyces marianii,0.375375371,0.001
Streptomyces marincola,0.098689503,0.097
Streptomyces marispadix,0.009409645,0.799
Streptomyces mashuensis,0.143265564,0.039
Streptomyces megasporus,0.166198582,0.029
Streptomyces melanogenes,0.060764517,0.233
Streptomyces melanosporofaciens,0.040275615,0.391
Streptomyces meridianus,0.075005275,0.188
Streptomyces mesophilus,0.190832723,0.008
Streptomyces mexicanus,0.51154909,0.001
Streptomyces microflavus,0.022763718,0.674
Streptomyces milbemycinicus,0.059179016,0.286
Streptomyces mirabilis,0.035110773,0.466
Streptomyces misionensis,0.172717315,0.016
Streptomyces mobaraensis,0.110495806,0.068
Streptomyces monashensis,0.021630785,0.614
Streptomyces monomycini,0.143588537,0.043
Streptomyces montanisoli,0.129532254,0.062
Streptomyces montanus,0.566465809,0.001
Streptomyces morookaense,0.008937607,0.871
Streptomyces muensis,0.22409196,0.009
Streptomyces murinus,0.024324782,0.581
Streptomyces mutabilis,0.044797124,0.348
Streptomyces naganishii,0.476818545,0.001
Streptomyces nanshensis,0.151186779,0.03
Streptomyces naphthomycinicus,0.433321239,0.001
Streptomyces netropsis,0.048092991,0.361
Streptomyces neyagawaensis,0.127045993,0.053
Streptomyces niger,0.273859345,0.002
Streptomyces nigrescens,0.095963445,0.114
Streptomyces niveiscabiei,0.014358312,0.753
Streptomyces niveus,0.425172145,0.001
Streptomyces nodosus,0.236060588,0.005
Streptomyces noursei,0.14258191,0.048
Streptomyces nymphaeiformis,0.126014258,0.064
Streptomyces ochraceiscleroticus,0.169775371,0.031
Streptomyces odonnellii,0.035750102,0.45
Streptomyces olivaceus,0.001124023,0.984
Streptomyces olivochromogenes,0.038813632,0.423
Streptomyces olivoreticuli,0.269093942,0.001
Streptomyces olivoverticillatus,0.32524539,0.002
Streptomyces orinoci,0.107088937,0.082
Streptomyces ortus,0.169531283,0.023
Streptomyces oryzae,0.084769271,0.139
Streptomyces ossamyceticus,0.48998511,0.001
Streptomyces otsuchiensis,0.068427325,0.196
Streptomyces pacificus,0.140422267,0.047
Streptomyces palmae,0.161432423,0.02
Streptomyces paludis,0.051807572,0.335
Streptomyces paradoxus,0.091806068,0.107
Streptomyces parvulus,0.133520414,0.051
Streptomyces parvus,0.329449325,0.001
Streptomyces pathocidini,0.144635001,0.045
Streptomyces peucetius,0.052897505,0.297
Streptomyces phaeochromogenes,0.046005028,0.372
Streptomyces phaeofaciens,0.171459701,0.015
Streptomyces phaeolivaceus,0.086130897,0.132
Streptomyces phaeoluteigriseus,0.054958262,0.3
Streptomyces phyllanthi,0.006407478,0.881
Streptomyces phytophilus,0.011313521,0.774
Streptomyces pini,0.266511956,0.004
Streptomyces pinistramenti,0.150780874,0.034
Streptomyces piniterrae,0.138213939,0.059
Streptomyces platensis,0.035957101,0.47
Streptomyces pluricolorescens,0.123385248,0.066
Streptomyces pluripotens,0.136160527,0.051
Streptomyces polyasparticus,0.30246614,0.001
Streptomyces populi,0.022273777,0.619
Streptomyces poriferorum,0.03765355,0.371
Streptomyces prasinopilosus,0.324454919,0.001
Streptomyces prasinus,0.251205704,0.004
Streptomyces pratensis,0.014776793,0.782
Streptomyces pristinaespiralis,0.354972858,0.001
Streptomyces profundus,0.038196509,0.4
Streptomyces prunicolor,0,1
Streptomyces pseudogriseolus,0.055525358,0.298
Streptomyces pseudovenezuelae,0.054056566,0.279
Streptomyces puniciscabiei,0.298835766,0.001
Streptomyces purpurascens,0.209536945,0.008
Streptomyces purpureus,0.091535102,0.128
Streptomyces purpurogeneiscleroticus,0.136114699,0.042
Streptomyces pyxinae,0.016570645,0.725
Streptomyces qinzhouensis,0.266979129,0.003
Streptomyces radiopugnans,0.033447182,0.449
Streptomyces rapamycinicus,0.242927339,0.005
Streptomyces rectiverticillatus,0.047138413,0.342
Streptomyces regalis,0.183618678,0.014
Streptomyces regensis,0.167869793,0.013
Streptomyces reniochalinae,0.02750896,0.568
Streptomyces resistomycificus,0.004947271,0.897
Streptomyces reticuli,0.000315993,0.989
Streptomyces rhizoryzae,0.299360337,0.003
Streptomyces rhizosphaericus,0.040368083,0.42
Streptomyces rhizosphaerihabitans,0.043389492,0.401
Streptomyces rimosus,0.116011366,0.085
Streptomyces rishiriensis,0.280950217,0.001
Streptomyces rochei,0.119511878,0.074
Streptomyces roseicoloratus,0.210930648,0.012
Streptomyces roseifaciens,0.201870821,0.009
Streptomyces roseochromogenus,0.192106967,0.013
Streptomyces roseolilacinus,0.087821706,0.148
Streptomyces roseolus,0.195711672,0.013
Streptomyces roseoverticillatus,0.138919733,0.044
Streptomyces rubellomurinus,0.161762271,0.027
Streptomyces ruber,0.227233726,0.003
Streptomyces rubrogriseus,0.02750896,0.568
Streptomyces rugosispiralis,0.073806352,0.181
Streptomyces sampsonii,0.095529822,0.114
Streptomyces samsunensis,0,1
Streptomyces sasae,0.088111478,0.127
Streptomyces scabichelini,0.09233074,0.103
Streptomyces scabiei,0.455209847,0.001
Streptomyces scopuliridis,0.223658204,0.005
Streptomyces sedi,0.012939902,0.742
Streptomyces seoulensis,0.066511339,0.23
Streptomyces shenzhenensis,0.127020145,0.057
Streptomyces showdoensis,0.126014258,0.064
Streptomyces silvisoli,0.154614899,0.027
Streptomyces sindenensis,0.013228419,0.844
Streptomyces sioyaensis,0.016362758,0.734
Streptomyces smaragdinus,0.257983009,0.005
Streptomyces somaliensis,0.112547426,0.082
Streptomyces sp.,0.202355553,0.011
Streptomyces sp. 11-1-2,0.013248326,0.765
Streptomyces sp. 1114.5,0.043016133,0.364
Streptomyces sp. 11x1,0.173380192,0.019
Streptomyces sp. 1222.2,0.028836228,0.53
Streptomyces sp. 130,0.008420819,0.893
Streptomyces sp. 13-12-16,0.16162734,0.021
Streptomyces sp. 1331.2,0.166695814,0.019
Streptomyces sp. 142MFCol3.1,0.012274179,0.763
Streptomyces sp. 150FB,0.177835928,0.015
Streptomyces sp. 15-116A,0.028989172,0.517
Streptomyces sp. 2112.3,0.236766667,0.003
Streptomyces sp. 2321.6,0.02645988,0.559
Streptomyces sp. 2323.1,0.040151849,0.366
Streptomyces sp. 2333.5,0.037100796,0.438
Streptomyces sp. 2BBP-J2,0.172513823,0.012
Streptomyces sp. 2P-4,0.027455822,0.56
Streptomyces sp. 2R,0.397938567,0.002
Streptomyces sp. 3213.3,0.018483835,0.657
Streptomyces sp. 3214.6,0.046531544,0.349
Streptomyces sp. 3330,0.19890722,0.023
Streptomyces sp. 378,0.034763578,0.452
Streptomyces sp. 4F,0.060369045,0.242
Streptomyces sp. 5-10,0.081136484,0.162
Streptomyces sp. 549,0.014790835,0.776
Streptomyces sp. 5-6(2022),0.013228419,0.844
Streptomyces sp. 6-11-2,0.02443832,0.58
Streptomyces sp. 635(2010),0.052849253,0.327
Streptomyces sp. 71268,0.02443442,0.562
Streptomyces sp. 7-21,0.008168329,0.846
Streptomyces sp. 840.1,0.297837167,0.002
Streptomyces sp. 846.5,0.45579932,0.001
Streptomyces sp. 891-h,0.077868998,0.16
Streptomyces sp. 8K308,0.250871791,0.004
Streptomyces sp. 8L,0.083724944,0.148
Streptomyces sp. 8P21H-1,0.19890722,0.023
Streptomyces sp. A012304,0.326431675,0.002
Streptomyces sp. A0642,0.042408703,0.34
Streptomyces sp. A0958,0.126987778,0.063
Streptomyces sp. A108,0.036698632,0.437
Streptomyces sp. A1136,0.007895729,0.829
Streptomyces sp. A1277,0.002214139,0.962
Streptomyces sp. A1499,0,1
Streptomyces sp. A1-5,0.124600669,0.051
Streptomyces sp. A1547,0.031629068,0.496
Streptomyces sp. A2-16,0,1
Streptomyces sp. A244,0.158506136,0.037
Streptomyces sp. A3M-1-3,0.276796587,0.005
Streptomyces sp. AA4,0.083267009,0.155
Streptomyces sp. AC04842,0,1
Streptomyces sp. AC1-42T,0.013228419,0.844
Streptomyces sp. AC512_CC834,0.004169591,0.916
Streptomyces sp. AC550_RSS872,0.044909464,0.385
Streptomyces sp. AC555_RSS877,0.069972751,0.214
Streptomyces sp. AC558_RSS880,0.120601869,0.079
Streptomyces sp. ACA25,0.065213295,0.209
Streptomyces sp. AcE210,0.026458282,0.555
Streptomyces sp. AcH 505,0.01681383,0.735
Streptomyces sp. Act143,0.021138765,0.655
Streptomyces sp. ActVer,0.299838347,0.001
Streptomyces sp. AD2-2,0.2684513,0.002
Streptomyces sp. ADI91-18,0.024086254,0.632
Streptomyces sp. ADI92-24,0.047186697,0.349
Streptomyces sp. ADI93-02,0.152497892,0.032
Streptomyces sp. ADI95-17,0.000438784,1
Streptomyces sp. ADI97-07,0.109735329,0.077
Streptomyces sp. ADI98-10,0.111994775,0.071
Streptomyces sp. ADI98-12,0.126012879,0.055
Streptomyces sp. ADMS,0.137955332,0.037
Streptomyces sp. Ag109_G2-15,0.230082862,0.008
Streptomyces sp. Ag109_O5-1,0.43789722,0.001
Streptomyces sp. Ag109_O5-10,0.029072631,0.532
Streptomyces sp. Ag82_O1-15,0.38090524,0.001
Streptomyces sp. AgN23,0.193205764,0.016
Streptomyces sp. AJS327,0.09794036,0.113
Streptomyces sp. AK02-01A,0.071846727,0.184
Streptomyces sp. AK04-3B,0.347124928,0.002
Streptomyces sp. Alain-F2R5,0.364445764,0.001
Streptomyces sp. ALI-76-A,0.020343322,0.647
Streptomyces sp. AM 4-1-1,0.036411531,0.439
Streptomyces sp. AM8-1-1,0.206594459,0.01
Streptomyces sp. Amel2xB2,0.120492824,0.069
Streptomyces sp. AN091965,0.046747914,0.359
Streptomyces sp. AP-93,0.135963015,0.042
Streptomyces sp. AS02,0.551007366,0.001
Streptomyces sp. AS13,0.104148617,0.093
Streptomyces sp. AS58,0.212257142,0.008
Streptomyces sp. ASQP_92,0.048115523,0.374
Streptomyces sp. AV19,0.03008998,0.499
Streptomyces sp. AVP053U2,0.016059127,0.71
Streptomyces sp. B15,0.085165222,0.137
Streptomyces sp. B1866,0.072155867,0.197
Streptomyces sp. B1I3,0.256455237,0.008
Streptomyces sp. B3I7,0.046691343,0.362
Streptomyces sp. B3I8,0,1
Streptomyces sp. B4I13,0.028669047,0.541
Streptomyces sp. B93,0.066643792,0.21
Streptomyces sp. BB1-1-1,0.294817419,0.002
Streptomyces sp. BE147,0.128653686,0.052
Streptomyces sp. BE230,0.243009502,0.004
Streptomyces sp. BE303,0.046465368,0.352
Streptomyces sp. BE308,0.104667367,0.099
Streptomyces sp. BF-3,0.037592431,0.461
Streptomyces sp. BHT-5-2,0.104900661,0.107
Streptomyces sp. BK022,0.129879445,0.062
Streptomyces sp. BK208,0.143143088,0.047
Streptomyces sp. BK340,0.260047451,0.002
Streptomyces sp. BPPL-273,0.026053328,0.573
Streptomyces sp. B-S-A6,0.44273731,0.001
Streptomyces sp. B-S-A8,0.087901791,0.143
Streptomyces sp. BSE7-9,0.093830293,0.106
Streptomyces sp. C,0.107938464,0.079
Streptomyces sp. C1-2,0.049991782,0.326
Streptomyces sp. CA-210063,0.379888547,0.001
Streptomyces sp. Caat 7-52,0.044224798,0.377
Streptomyces sp. CAI-17,0.270571158,0.004
Streptomyces sp. CAI-21,0.057235616,0.277
Streptomyces sp. CAI-24,0.190540478,0.01
Streptomyces sp. CAI-78,0.05642482,0.291
Streptomyces sp. CAI-85,0.375879003,0.001
Streptomyces sp. CB00316,0,1
Streptomyces sp. CB00455,0.235253081,0.003
Streptomyces sp. CB01201,0.074327618,0.163
Streptomyces sp. CB01580,0.130860868,0.056
Streptomyces sp. CB01881,0.13243557,0.053
Streptomyces sp. CB01883,0.221539098,0.003
Streptomyces sp. CB02009,0.264680252,0.004
Streptomyces sp. CB02261,0.19890722,0.023
Streptomyces sp. CB02400,0.02055141,0.652
Streptomyces sp. CB02460,0.305427515,0.001
Streptomyces sp. CB02613,0.008937607,0.871
Streptomyces sp. CB02923,0.311126699,0.001
Streptomyces sp. CB02959,0.005075269,0.898
Streptomyces sp. CB03234,0.223934657,0.009
Streptomyces sp. CB03238,0.122155461,0.044
Streptomyces sp. CB03911,0.234483092,0.001
Streptomyces sp. CB09001,0.008188581,0.855
Streptomyces sp. CBMA123,0.309835124,0.001
Streptomyces sp. CBMA152,0.146047271,0.037
Streptomyces sp. CBMA156,0.086401451,0.138
Streptomyces sp. CBMA29,0.122775063,0.057
Streptomyces sp. CC210A,0.241648195,0.002
Streptomyces sp. CC228A,0.146017328,0.041
Streptomyces sp. CC77,0.201133222,0.012
Streptomyces sp. CdTB01,0.170148775,0.029
Streptomyces sp. cf386,0.575739197,0.001
Streptomyces sp. CJ_13,0.013407647,0.746
Streptomyces sp. CL7,0.174383369,0.025
Streptomyces sp. CMB-StM0423,0.216818295,0.009
Streptomyces sp. CME 23,0.009109941,0.834
Streptomyces sp. CNQ085,0.10907666,0.087
Streptomyces sp. CNQ-509,0.037903713,0.388
Streptomyces sp. CNZ748,0,1
Streptomyces sp. CoH27,0.104286488,0.09
Streptomyces sp. CoT10,0.107953169,0.094
Streptomyces sp. CRN 30,0.063842031,0.248
Streptomyces sp. CS090A,0.129788121,0.056
Streptomyces sp. CS227,0.018556477,0.67
Streptomyces sp. CSDS2,0.073540298,0.142
Streptomyces sp. CT34,0.073816046,0.203
Streptomyces sp. DconLS,0.096845693,0.105
Streptomyces sp. DH12,0.159289452,0.026
Streptomyces sp. DH17,0.38441761,0.001
Streptomyces sp. DH24,0.124675296,0.065
Streptomyces sp. DH37,0.187415104,0.022
Streptomyces sp. DH8,0.136820918,0.046
Streptomyces sp. DHE7-1,0.129621475,0.049
Streptomyces sp. di50b,0.022096559,0.618
Streptomyces sp. DJ,0.271301152,0.001
Streptomyces sp. DK15,0.022201504,0.673
Streptomyces sp. DSM 15324,0.168884778,0.027
Streptomyces sp. DSM 40712,0.097360149,0.118
Streptomyces sp. DSM 40750,0.19918637,0.008
Streptomyces sp. DSM 40907,0.226215683,0.008
Streptomyces sp. DSM 41524,0.29502579,0.002
Streptomyces sp. DSM 41527,0.124097934,0.067
Streptomyces sp. DSM 41528,0.050897879,0.334
Streptomyces sp. DSM 41529,0.049892095,0.333
Streptomyces sp. DSM 41633,0.150563677,0.025
Streptomyces sp. DSM 41636,0.186722889,0.01
Streptomyces sp. DSM 41640,0.081602387,0.158
Streptomyces sp. DSM 41699,0.158902231,0.02
Streptomyces sp. DSM 41886,0.19890722,0.023
Streptomyces sp. DSM 41921,0.100772733,0.103
Streptomyces sp. DSM 41972,0.087292786,0.14
Streptomyces sp. DSM 41981,0.042159285,0.403
Streptomyces sp. DSM 42041,0.146459957,0.041
Streptomyces sp. DSM 44915,0.235569678,0.006
Streptomyces sp. DSM 44917,0.051215096,0.298
Streptomyces sp. DSM 44918,0.119673655,0.07
Streptomyces sp. DSM 44938,0.463304884,0.001
Streptomyces sp. DT2A-34,0.016321881,0.709
Streptomyces sp. e14,0.106614698,0.087
Streptomyces sp. E2N166,0.209655973,0.006
Streptomyces sp. E2N171,0.034066746,0.441
Streptomyces sp. E5N298,0.171127341,0.022
Streptomyces sp. EL5,0.172162776,0.017
Streptomyces sp. F001,0.091403725,0.138
Streptomyces sp. F-1,0.025178325,0.59
Streptomyces sp. F12,0.394654846,0.001
Streptomyces sp. F-3,0.268799057,0.002
Streptomyces sp. F63,0.08198749,0.164
Streptomyces sp. F8,0.15946633,0.019
Streptomyces sp. fd1-xmd,0,1
Streptomyces sp. FH025,0.054863903,0.287
Streptomyces sp. FIT100,0.140626906,0.042
Streptomyces sp. FL07-04A,0.214509893,0.005
Streptomyces sp. FxanaA7,0.129108787,0.049
Streptomyces sp. FXJ1.172,0.098820165,0.117
Streptomyces sp. FXJ1.4098,0.094337335,0.129
Streptomyces sp. FZ201,0.035853587,0.448
Streptomyces sp. G1,0,1
Streptomyces sp. G44,0.058219017,0.24
Streptomyces sp. GB4-14,0.026561904,0.568
Streptomyces sp. GbtcB6,0.031512209,0.534
Streptomyces sp. GbtcB7,0.313989633,0.001
Streptomyces sp. GC420,0.170727759,0.018
Streptomyces sp. GESEQ-35,0.048619052,0.341
Streptomyces sp. GESEQ-4,0.057832039,0.277
Streptomyces sp. G-G2,0.009517208,0.815
Streptomyces sp. GKU 895,0,1
Streptomyces sp. GMR22,0.096199498,0.115
Streptomyces sp. GMY02,0.160013633,0.022
Streptomyces sp. Go-475,0.152625353,0.036
Streptomyces sp. GS7,0.145461532,0.031
Streptomyces sp. GSL17-113,0.087907163,0.148
Streptomyces sp. H23,0.13227919,0.049
Streptomyces sp. H27-C3,0.064601968,0.214
Streptomyces sp. H27-D2,0.006766926,0.834
Streptomyces sp. H27-G5,0.246772258,0.005
Streptomyces sp. H27-H1,0.02673568,0.564
Streptomyces sp. H27-H5,0,1
Streptomyces sp. H28,0.110637543,0.067
Streptomyces sp. H34-AA3,0.210141962,0.007
Streptomyces sp. H34-S4,0.083919532,0.12
Streptomyces sp. H39-S7,0.314743329,0.001
Streptomyces sp. H51,0.12777491,0.053
Streptomyces sp. HB202,0.145869918,0.035
Streptomyces sp. HB2AG,0.059620179,0.262
Streptomyces sp. HB-N217,0.01719758,0.74
Streptomyces sp. HD,0.335010282,0.002
Streptomyces sp. HG99,0.116145034,0.071
Streptomyces sp. HGB0020,0.030220593,0.519
Streptomyces sp. HNM0574,0.043884792,0.349
Streptomyces sp. HNM0645,0.139019673,0.034
Streptomyces sp. HP-A2021,0.039103132,0.419
Streptomyces sp. HPF1205,0.487315863,0.001
Streptomyces sp. HUAS 15-9,0.270781269,0.002
Streptomyces sp. HUAS YS2,0.017978294,0.703
Streptomyces sp. HUCO-GS316,0.013122866,0.78
Streptomyces sp. HYC2,0.24421866,0.005
Streptomyces sp. I5,0.275612831,0.002
Streptomyces sp. IB201691-2A2,0.049091415,0.348
Streptomyces sp. ICN441,0.068349379,0.2
Streptomyces sp. ICN903,0.410094688,0.001
Streptomyces sp. ID01-9D,0.102093479,0.103
Streptomyces sp. ID05-04B,0.269434908,0.001
Streptomyces sp. ID05-26A,0.341563017,0.001
Streptomyces sp. ID05-A0478,0.143266064,0.04
Streptomyces sp. IMTB 2501,0.136604018,0.047
Streptomyces sp. ISL-1,0.032424897,0.49
Streptomyces sp. ISL-100,0.033479798,0.486
Streptomyces sp. ISL-11,0.125980784,0.055
Streptomyces sp. ISL-112,0.048017213,0.341
Streptomyces sp. ISL-12,0.071153153,0.204
Streptomyces sp. ISL-14,0.073724253,0.211
Streptomyces sp. ISL-36,0.079840629,0.168
Streptomyces sp. ISL-43,0.148617714,0.043
Streptomyces sp. ISL-66,0.254727527,0.003
Streptomyces sp. ISL-90,0.378028214,0.001
Streptomyces sp. ISL-94,0.015495308,0.726
Streptomyces sp. ISL-96,0.085100299,0.145
Streptomyces sp. ISL-98,0.098591643,0.122
Streptomyces sp. ISL-99,0.148944616,0.047
Streptomyces sp. ITFR-16,0.185399237,0.019
Streptomyces sp. ITFR-21,0.047869431,0.355
Streptomyces sp. ITFR-6,0.264786692,0.001
Streptomyces sp. JB150,0.034681771,0.456
Streptomyces sp. JCM17656,0,1
Streptomyces sp. JH14,0.285516109,0.002
Streptomyces sp. JH34,0.137525322,0.041
Streptomyces sp. JHA19,0.043623754,0.357
Streptomyces sp. JJ38,0.218944879,0.011
Streptomyces sp. JJ66,0.242260832,0.005
Streptomyces sp. JV176,0.533355446,0.001
Streptomyces sp. JV184,0.19890722,0.023
Streptomyces sp. JV185,0.164405765,0.031
Streptomyces sp. JV190,0.171002959,0.017
Streptomyces sp. KAI-27,0.087846382,0.129
Streptomyces sp. KhCrAH-43,0.03765355,0.371
Streptomyces sp. KM273126,0.07654481,0.162
Streptomyces sp. L2,0.144147229,0.037
Streptomyces sp. L-9-10,0.051845548,0.313
Streptomyces sp. LamerLS-31b,0.072533665,0.188
Streptomyces sp. LaPpAH-108,0.216548942,0.013
Streptomyces sp. LBL,0.071846727,0.184
Streptomyces sp. LBUM 1485,0,1
Streptomyces sp. LHD-70,0.353047776,0.003
Streptomyces sp. Li-HN-5-11,0.357697322,0.001
Streptomyces sp. LS1784,0,1
Streptomyces sp. LUP47B,0.058806149,0.243
Streptomyces sp. LX-29,0.008328444,0.883
Streptomyces sp. Lzd4kr,0.204207867,0.007
Streptomyces sp. M10,0.022477345,0.628
Streptomyces sp. M2CJ-2,0.002007731,0.951
Streptomyces sp. M41(2017),0.136187135,0.047
Streptomyces sp. M56,0.318878648,0.001
Streptomyces sp. MA5143a,0.180781854,0.02
Streptomyces sp. MAR25Y5,0.284446707,0.002
Streptomyces sp. MB09-02B,0.075636096,0.188
Streptomyces sp. MBRL 10,0.040711688,0.433
Streptomyces sp. MBT49,0.062402516,0.242
Streptomyces sp. MBT53,0.029742667,0.541
Streptomyces sp. MBT56,0.036083101,0.421
Streptomyces sp. MBT57,0.08801088,0.126
Streptomyces sp. MBT62,0.039653864,0.422
Streptomyces sp. MBT65,0.479834454,0.001
Streptomyces sp. MBT70,0.035371975,0.413
Streptomyces sp. MC1,0.142302473,0.045
